article_label,manifest_field,current_contract,consumer,resolved_required_paths,resolution_status,recommended_contract,recommended_location,reason
Main 1,source_data,experiments/pinn_seeded_shooting,code/scripts/data_preparation/prepare_build_supersonic_spectral_article_assets.py,assets/classic_supersonic/csv/modal_reconstruction/dense_kappa_q_campaign_v1_FINAL_FULL_BRANCH_ASSETS/table_classical_supersonic_final_reference.csv,RESOLVED,assets/classic_supersonic/csv/modal_reconstruction/dense_kappa_q_campaign_v1_FINAL_FULL_BRANCH_ASSETS/table_classical_supersonic_final_reference.csv,already canonical,The generator opens exactly one --reference CSV. The supported local invocation identifies this final classical reference; the broad PINN-seeded experiment tree is not read.
Main 3,source_data,assets/complementary/blumen_cr,scripts/article/build_blumen_cr_independent_validation.py,results/blumen_cr_validation/results/phase11_final_stratified_cr_validation.csv,RESOLVED,results/blumen_cr_validation/results/phase11_final_stratified_cr_validation.csv,should remain under results/,"The declared script reads this one CSV. The current manifest directory is the script output directory, not an input."
Main 6,source_data,experiments/atlas_12charts,code/scripts/data_preparation/prepare_build_supersonic_article_png_assets.py,NO_EXTERNAL_DATA_CODE_DEFINED,RESOLVED,NO_EXTERNAL_DATA_CODE_DEFINED,already canonical,"fig_atlas_geometry uses only hard-coded chart bands. The full generator reads other data for other figures, but Main 6 itself opens no data file; backups and JOB metadata are unused."
Main 7,source_data,experiments/anchor_budget,code/scripts/data_preparation/prepare_build_supersonic_article_png_assets.py,assets/pinn_supersonic/csv/anchor_budget/atlas2d_v1/table_anchors_N76.csv,RESOLVED,assets/pinn_supersonic/csv/anchor_budget/atlas2d_v1/table_anchors_N76.csv,already canonical,"The Main 7 plot path is fig_anchor_budget(76), which reads only the N76 anchor CSV. The broader experiment directory is not consumed."
Main 8,source_data,experiments/anchor_budget,code/scripts/evaluation/make_supersonic_article_result_figures_N76.py,assets/article_sources/Fig_supersonic_budget_branch_recovery.png,RESOLVED,assets/article_sources/Fig_supersonic_budget_branch_recovery.png,already canonical,The historical builder expects obsolete N24--N76 shooting-validation paths absent from the current tree. The validated canonical PNG is the only currently reproducible publication input; raw regeneration needs a future repaired builder and explicit data closure.
Main 9,source_data,experiments/pinn_direct,code/scripts/evaluation/make_supersonic_article_result_figures_N76.py,assets/classic_supersonic/csv/pinn_direct/shooting_T401/table_N76_T401_shooting_401.csv,RESOLVED,assets/classic_supersonic/csv/pinn_direct/shooting_T401/table_N76_T401_shooting_401.csv,already canonical,The T401 figure path reads the sealed N76 T401 CSV. The full builder also has stale budget-summary work unrelated to the Main 9 T401 plot.
Main 12,source_data,assets/pinn_supersonic/png/modal_reconstruction/p3-supersonic-results,code/scripts/data_preparation/prepare_build_modal_overlay_M140_a018_N76.py (recovered from provenance),models_saved/atlas/N76/C11/best_joint_checkpoint_33647c0c65.pt;assets/classic_supersonic/csv/pinn_direct/shooting_T401/table_N76_T401_shooting_401.csv;assets/classic_supersonic/data/modal_reconstruction/modes/modes_compact_with_analytic_tails_bf31f70f37.npz,RESOLVED,assets/pinn_supersonic/png/modal_reconstruction/p3-supersonic-results/Fig_supersonic_modal_overlay_M140_a018_real.png,already canonical,"The recovered generator uses the checkpoint, T401 table, and compact modal NPZ. For final publishing, the real PNG is the stable immediate input; metadata/PDF/SVG siblings are not consumed."
Main 13,source_data,assets/pinn_supersonic/png/modal_reconstruction/p3-supersonic-results,code/scripts/data_preparation/prepare_build_modal_overlay_M140_a018_N76.py (recovered from provenance),models_saved/atlas/N76/C11/best_joint_checkpoint_33647c0c65.pt;assets/classic_supersonic/csv/pinn_direct/shooting_T401/table_N76_T401_shooting_401.csv;assets/classic_supersonic/data/modal_reconstruction/modes/modes_compact_with_analytic_tails_bf31f70f37.npz,RESOLVED,assets/pinn_supersonic/png/modal_reconstruction/p3-supersonic-results/Fig_supersonic_modal_overlay_M140_a018_imag.png,already canonical,Same recovered generation path as Main 12; the imaginary PNG is the stable immediate publishing input.
Main 14,source_data,experiments/computational_cost,code/scripts/data_preparation/prepare_build_computational_cost_asset_N76.py,assets/pinn_supersonic/json/computational_cost/p3-supersonic-results/Tab_supersonic_computational_speedups.json;assets/classic_supersonic/csv/computational_cost/analysis/table_N76_CLASSICAL_COST500_merged_500.csv;assets/classic_supersonic/csv/computational_cost/analysis/table_N76_COST500_shooting_timing_500.csv,RESOLVED,assets/pinn_supersonic/json/computational_cost/p3-supersonic-results/Tab_supersonic_computational_speedups.json;assets/classic_supersonic/csv/computational_cost/analysis/table_N76_CLASSICAL_COST500_merged_500.csv;assets/classic_supersonic/csv/computational_cost/analysis/table_N76_COST500_shooting_timing_500.csv,already canonical,The builder reads exactly these JSON/CSV inputs. The broad computational-cost experiment directory is not read.
Supplementary S6,source_data,results/multiseed_ablation,scripts/article/build_multiseed_physics_vs_anchors_ablation.py,results/multiseed_ablation/N76_fullc_seed1/evaluation/joint/N76_validation_metrics_global.json;results/multiseed_ablation/N76_fullc_seed1/production_shooting/shooting_validation_64.csv;results/multiseed_ablation/N76_fullc_seed2/evaluation/joint/N76_validation_metrics_global.json;results/multiseed_ablation/N76_fullc_seed2/shooting_V64/shooting_validation_64.csv;results/multiseed_ablation/N76_fullc_seed3/evaluation/joint/N76_validation_metrics_global.json;results/multiseed_ablation/N76_fullc_seed3/shooting_V64/shooting_validation_64.csv;results/multiseed_ablation/N76_anchors_only/evaluation/joint/N76_validation_metrics_global.json;results/multiseed_ablation/N76_anchors_only/shooting_V64/shooting_validation_64.csv;results/multiseed_ablation/N76_anchors_only_seed2/evaluation/joint/N76_validation_metrics_global.json;results/multiseed_ablation/N76_anchors_only_seed2/shooting_V64/shooting_validation_64.csv;results/multiseed_ablation/N76_anchors_only_seed3/evaluation/joint/N76_validation_metrics_global.json;results/multiseed_ablation/N76_anchors_only_seed3/shooting_V64/shooting_validation_64.csv,RESOLVED,explicit finite set of 12 result files listed in MANIFEST_CONTRACT_RESOLUTION.csv,should remain under results/,"The generator reads one joint metrics JSON and the first existing shooting candidate per each of six named runs. Existing candidates are enumerated explicitly; configs, other evaluation stages, logs, and JOB_ID files are not consumed."
