family,current_source,scientific_role,status,dependency_summary,portability,notes
classical_convergence,code/slurm/classical_convergence,Classical Riccati-shooting convergence and c_i audits,requires_external_inputs,Jean-Zay modules and historical working-tree path,hpc_specific,Python entrypoints are public but the launchers are not portable unchanged.
generic_shooting,code/slurm/generic_shooting,Neutral-boundary continuation and branch-guided shooting,requires_external_inputs,Seed datasets plus Jean-Zay modules and campaign outputs,hpc_specific,Classical shooting family; final reference workflow is Riccati shooting.
supersonic_general,code/slurm/supersonic_general,Certified atlas assembly and M=1.8-1.9 refinement,requires_external_inputs,Campaign datasets and Jean-Zay environment,hpc_specific,Retained source-side campaign launchers.
fixed_mach,code/slurm/fixed_mach,Fixed-Mach PINN training evaluation and finetuning,requires_private_checkpoints,Several jobs require unpublished prior runs or checkpoints,incomplete,Checkpoint bank is intentionally absent from public Git.
pinn_direct,code/slurm/pinn_direct,Direct PINN and dense classical campaign orchestration,mixed,Some jobs need unpublished datasets checkpoints or previous outputs,incomplete,Includes source-side orchestration rather than a public training interface.
modal_reconstruction,code/slurm/modal_reconstruction,Classical modal reconstruction and PINN modal diagnostics,mixed,Some shooting jobs are public-source only while audits require checkpoints or prior outputs,incomplete,Do not infer public checkpoint availability.
anchor_budget,code/slurm/anchor_budget,Continuous-Mach atlas sparse-anchor budget experiments,missing_config,Eight absent configs/pinn_supersonic templates are used across atlas families,incomplete,Resolved snapshots are not safe automatic replacements.
atlas_12charts,code/slurm/atlas_12charts,Twelve-chart atlas training smoke and benchmark campaigns,missing_config,N76 atlas configuration templates are absent,incomplete,Resolved snapshots are not safe automatic replacements.
chart_overlap,code/slurm/chart_overlap,Modal branch-selector calibration,requires_external_inputs,Campaign inputs plus historical execution environment,hpc_specific,Shell orchestration only.
legacy_gep,provenance/hpc/legacy_gep,Historical generalized-eigenvalue diagnostics,historical,Retained for traceability and diagnostic provenance,historical_only,Not the final classical reference workflow.
