point_id,reference_tier,Mach,alpha,cr,ci,omega_i,spectral_ok,modal_ok,pinning_use,best_status,best_stage1_mismatch,best_stage2_mismatch,trusted_spectral,trusted_modal,valid_spectral_candidate,valid_modal_candidate,decision,source_kind,source_short,source,validation_note,has_exported_modal_fields
M1.10_a0.175000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.1,0.175,0.1508143457011082,0.092213234034898,0.0161373159561071,True,True,YES,validated,9.209272529347948e-06,3.3933657261595065e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M11_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.10_a0.200000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.1,0.2,0.1656761547463344,0.0791796566675815,0.0158359313335163,True,True,YES,validated,1.314381709687337e-05,2.9859546502175105e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M11_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.20_a0.150000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.2,0.15,0.209251477505801,0.0890539934231143,0.0133580990134671,True,True,YES,validated,2.732693095535446e-06,1.1680993728282036e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.20_a0.175000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.2,0.175,0.2259107392431602,0.0762428518157576,0.0133424990677575,True,True,YES,validated,2.48514172215903e-06,1.0773235011332662e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.20_a0.187500,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.2,0.1875,0.2331694872807306,0.0698658844864319,0.0130998533412059,True,True,YES,validated,1.1222729728655301e-07,5.0165079385983805e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.20_a0.200000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.2,0.2,0.2398365204931603,0.0634987111907576,0.0126997422381515,True,True,YES,validated,8.439710203642677e-07,1.359169398096911e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.20_a0.208333,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.2,0.208333,0.2439966767431603,0.0592701955657576,0.0123479376528009,True,True,YES,validated,1.5053414891389662e-06,1.7729387245876382e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.20_a0.216667,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.2,0.216667,0.2479483075702228,0.055042805686539,0.0119259595796853,True,True,YES,validated,3.013401433885299e-06,6.794823364852447e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.25_a0.250000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.25,0.25,0.2550098377696084,0.0304106202499422,0.0076026550624855,True,True,YES,validated,0.0285205931752853,6.926989067349518e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_point_batch_core_v2_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_core_v2_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.30_a0.100000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.3,0.1,0.2292287978156679,0.0908323489283033,0.0090832348928303,True,True,YES,validated,1.804350463478206e-06,6.609309114153527e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.30_a0.125000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.3,0.125,0.2507322022046491,0.0805622512041191,0.0100702814005148,True,True,YES,validated,8.48044792429182e-07,1.4640677329075317e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.30_a0.150000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.3,0.15,0.2679464671366972,0.0699190855162764,0.0104878628274414,True,True,YES,validated,2.48584615768089e-06,5.4148242835433054e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.30_a0.162500,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.3,0.1625,0.2753741570531295,0.0644937399606446,0.0104802327436047,True,True,YES,validated,3.525295246738324e-06,3.76409257947918e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.30_a0.175000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.3,0.175,0.2821847483866972,0.0590180438496097,0.0103281576736816,True,True,YES,validated,2.234820388918325e-06,1.157558020111278e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.30_a0.183333,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.3,0.183333,0.286403134768127,0.0553553184156296,0.0101484565910926,True,True,YES,validated,5.897737531703279e-07,1.5236565398847437e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.30_a0.191667,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.3,0.191667,0.290397275393127,0.0516736777906296,0.0099041388010966,True,True,YES,validated,3.697097577497154e-06,1.8110070860450328e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.30_a0.200000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.3,0.2,0.2727688216788323,0.0467110594036997,0.0093422118807399,True,True,YES,validated,0.0114810158991341,1.6726103028849283e-20,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M13_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M13_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.30_a0.225000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.3,0.2249999999999999,0.2807064105959674,0.0353543235424167,0.0079547227970437,True,True,YES,validated,0.0183502648700106,1.5485891781714665e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.30_a0.250000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.3,0.25,0.2886439995131025,0.0255613688283836,0.0063903422070959,True,True,YES,validated,0.0267995410060461,1.6709758490539702e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.30_a0.275000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.3,0.275,0.2965815884302376,0.0171633516439817,0.0047199217020949,True,True,YES,validated,0.0261349939882448,2.044343122066965e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.33_a0.180000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.33,0.18,0.2771044303979708,0.0508498118838383,0.0091529661390908,True,True,YES,validated,0.0029902678212216,1.3042589531394374e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_point_batch_core_v2_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_core_v2_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.40_a0.100000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.1,0.283841246397037,0.0425165800223759,0.0042516580022375,True,True,YES,validated,0.0083962628131086,2.0046362322329786e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M14_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M14_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
